,,Mass
Time,File  W: AS ,File R: Mass 
min,rpm,g
30.618,0.5,1281
30.651,0.5,1281.1
30.684,0.5,1281.1
30.718,0.5,1281.1
30.751,0.5,1281
30.784,0.5,1281
30.817,0.5,1281
30.851,0.5,1281
30.884,0.5,1281.1
30.918,0.5,1281.1
30.951,0.5,1281.1
30.984,0.5,1281
31.018,0.5,1281
31.051,0.5,1281
31.084,0.5,1281
31.118,0.5,1281
31.151,0.5,1281.1
31.184,0.5,1281
31.217,0.5,1281
31.251,0.5,1281
31.284,0.5,1281
31.318,0.5,1281
31.351,0.5,1281
31.384,0.5,1281
31.418,0.5,1281
31.451,0.5,1281
31.484,0.5,1281
31.518,0.5,1281
31.551,0.5,1281
31.584,0.5,1281
31.618,0.5,1281
31.651,0.5,1281
31.684,0.5,1281
31.717,0.5,1280.9
31.751,0.5,1280.9
31.784,0.5,1280.9
31.818,0.5,1281
31.851,0.5,1280.9
31.884,0.5,1280.9
31.918,0.5,1280.9
31.951,0.5,1280.9
31.984,0.5,1280.9
32.018,0.5,1281
32.051,0.5,1280.9
32.084,0.5,1280.9
32.118,0.5,1280.9
32.151,0.5,1280.9
32.184,0.5,1280.9
32.217,0.5,1280.9
32.251,0.5,1280.9
32.284,0.5,1280.9
32.318,0.5,1280.9
32.351,0.5,1280.9
32.384,0.5,1280.9
32.418,0.5,1280.9
32.451,0.5,1280.9
32.484,0.5,1280.9
32.518,0.5,1280.8
32.551,0.5,1280.8
32.584,0.5,1280.8
32.618,0.5,1280.9
32.651,0.5,1280.9
32.684,0.5,1280.8
32.718,0.5,1280.8
32.751,0.5,1280.8
32.784,0.5,1280.8
32.818,0.5,1280.8
32.851,0.5,1280.8
32.884,0.5,1280.9
32.918,0.5,1280.9
32.951,0.5,1280.9
32.984,0.5,1280.9
33.018,0.5,1280.8
33.051,0.5,1280.8
33.084,0.5,1280.8
33.118,0.5,1280.8
33.151,0.5,1280.8
33.184,0.5,1280.8
33.218,0.5,1280.8
33.251,0.5,1280.8
33.284,0.5,1280.8
33.318,0.5,1280.8
